boolean,46,90,5,24
boolean,46,91,10,0
boolean,46,91,13,116
boolean,46,92,0,487
boolean,46,92,1,43
boolean,46,92,2,588
boolean,46,92,3,34
boolean,46,92,4,142
boolean,47,93,0,117
boolean,47,93,2,905
boolean,48,94,3,89
boolean,48,94,6,26
boolean,49,95,0,457
boolean,49,95,1,4
boolean,49,95,2,157
boolean,61,111,0,236
boolean,77,137,4,64
boolean,77,137,6,114
boolean,77,138,2,79
boolean,78,141,0,187
boolean,78,141,3,30
boolean,78,141,5,25
boolean,78,141,6,248
boolean,78,142,0,143
boolean,83,152,1,973
boolean,98,184,0,98
boolean,106,198,0,3
boolean,106,198,2,150
boolean,106,198,6,57
boolean,109,204,0,165
boolean,120,228,2,291
boolean,144,262,2,91
boolean,181,324,4,94
boolean,196,361,7,47
broadcasting,36,75,2,144
broadcasting,36,75,3,104
broadcasting,40,80,1,23
broadcasting,40,80,2,60
broadcasting,40,80,3,0
broadcasting,40,80,5,12
broadcasting,40,81,1,25
broadcasting,40,81,9,214
broadcasting,40,82,3,96
broadcasting,40,82,4,9
broadcasting,40,82,7,23
broadcasting,41,83,1,0
broadcasting,41,83,4,0
broadcasting,41,84,1,118
broadcasting,41,84,3,429
broadcasting,43,85,1,24
broadcasting,43,85,6,71
broadcasting,43,85,7,445
broadcasting,43,85,10,0
broadcasting,44,86,2,417
broadcasting,44,86,3,51
broadcasting,44,86,4,45
broadcasting,44,86,5,23
broadcasting,50,96,4,57
broadcasting,56,106,2,130
broadcasting,57,108,1,302
broadcasting,65,114,7,68
broadcasting,77,136,0,21
broadcasting,142,258,3,435
centering,43,85,9,0
centering,44,86,0,22
computation on,31,67,1,0
computation on,31,67,3,0
computation on,31,68,13,111
computation on,31,70,3,443
computation on,32,72,16,0
computation on,36,74,22,461
computation on,36,75,3,81
computation on,40,80,1,0
computation on,40,80,5,460
computation on,40,82,7,0
computation on,41,84,3,406
computation on,44,86,5,0
computation on,45,88,5,11
computation on,45,88,7,35
computation on,50,96,4,100
computation on,56,106,2,145
computation on,73,132,2,93
computation on,74,133,0,462
computation on,77,136,0,46
computation on,111,207,0,610
computation on,119,226,4,385
computation on,142,258,3,412
concatenation,29,65,1,6
concatenation,29,65,4,0
concatenation,30,66,1,36
concatenation,87,158,13,33
concatenation,87,159,0,476
concatenation,87,159,1,264
concatenation,87,160,0,37
concatenation,87,160,1,75
concatenation,87,160,3,95
concatenation,89,161,6,27
concatenation,89,161,10,27
concatenation,90,162,1,0
concatenation,90,162,3,13
concatenation,90,163,1,41
concatenation,91,164,7,141
creating copies,27,63,4,0
data as,45,88,6,16
data as,64,113,1,137
data as,77,138,2,119
data as,80,143,0,25
data as,102,187,4,42
data as,113,213,9,67
data as,143,260,2,110
data as,143,261,1,44
data as,183,327,0,12
data as,195,360,8,0
data as,197,370,2,190
data as,201,378,6,177
data as,202,386,1,202
data as,257,508,1,338
data as,259,515,9,37
fixed-type,20,54,3,149
fixed-type,20,54,4,49
fixed-type,20,54,7,0
fixed-type,20,55,0,54
indexing: accessing single elements,25,60,1,6
reshaping,25,59,4,315
reshaping,27,64,0,294
reshaping,27,64,4,15
reshaping,43,85,3,72
reshaping,196,366,8,39
slicing,25,59,4,237
slicing,25,61,4,44
slicing,25,61,5,10
slicing,26,62,5,42
slicing,27,63,1,38
slicing,51,97,2,324
slicing,66,118,1,202
slicing,69,124,2,43
slicing,70,125,3,43
slicing,70,126,0,9
slicing,70,126,1,25
slicing,70,126,2,34
slicing,70,126,3,136
slicing,70,126,4,241
slicing,70,127,0,68
slicing,70,127,1,45
slicing,70,127,3,350
slicing,73,131,0,649
slicing,73,131,2,43
slicing,80,145,4,106
slicing,81,146,1,423
slicing,81,147,2,90
slicing,82,151,4,13
slicing,83,152,1,193
slicing,83,154,6,23
slicing,84,155,3,362
slicing,107,200,0,27
slicing,113,213,7,95
sorting,9,43,3,0
sorting,9,43,5,15
sorting,54,102,7,0
sorting,54,102,8,42
sorting,54,102,10,47
sorting,54,102,11,0
sorting,56,103,4,70
sorting,56,103,7,38
sorting,56,103,9,5
sorting,56,104,4,137
sorting,56,104,5,300
sorting,56,105,1,62
sorting,56,105,5,13
sorting,56,106,3,284
sorting,57,108,1,328
sorting,57,108,2,95
sorting,57,108,4,173
sorting,84,155,2,73
splitting,25,59,4,383
splitting,29,65,1,24
splitting,30,66,1,0
splitting,52,99,0,509
splitting,197,370,5,311
splitting,200,377,10,15
splitting,228,439,0,11
standard data types,24,58,0,6
structured,24,58,3,67
structured,58,109,17,0
structured,59,110,4,30
structured,59,110,5,140
structured,59,110,7,21
structured,61,111,2,9
structured,63,112,18,98
structured,63,112,19,0
structured,64,113,0,14
structured,64,113,3,29
structured,64,113,4,0
structured,64,113,5,22
structured,65,114,8,61
structured,65,115,9,115
structured,69,122,3,316
structured,69,122,4,11
structured,70,127,4,96
subarrays as no-copy views,27,63,0,203
universal functions,31,67,1,29
universal functions,31,67,4,99
universal functions,31,68,13,140
universal functions,31,70,3,472
universal functions,32,72,16,29
universal functions,36,74,22,490
universal functions,36,75,4,42
universal functions,40,80,1,79
universal functions,43,85,7,350
universal functions,45,88,5,40
universal functions,45,88,7,64
universal functions,111,207,0,639
universal functions,119,226,4,414
automagic function,4,36,2,275
axes limits,133,245,2,20
axes limits,160,289,4,33
bar plots,185,338,0,228
basis function regression,212,397,18,92
basis function regression,219,409,10,0
basis function regression,224,428,1,49
basis function regression,224,429,1,34
gaussian basis functions,220,411,1,0
gaussian basis functions,220,412,1,6
gaussian basis functions,220,413,2,35
gaussian basis functions,224,428,1,207
polynomial basis functions,219,410,2,189
polynomial basis functions,220,411,0,372
bayesian classification,214,400,0,0
bayesian classification,214,400,2,3
bayesian classification,214,400,7,232
bayesian classification,224,422,8,301
bayesian classification,260,518,5,11
bayesian classification,263,522,0,357
model selection and,201,380,4,138
time series,105,193,0,358
time series,105,194,3,414
time series,109,205,5,13
time series,109,205,10,58
time series,109,205,12,105
time series,109,205,14,10
time series,109,206,4,116
time series,109,206,7,132
time series,109,206,9,228
time series,111,208,6,429
time series,111,209,0,363
time series,111,209,1,7
time series,111,209,3,53
time series,111,209,4,7
time series,112,210,12,38
time series,113,212,0,52
time series,113,212,5,204
time series,113,213,4,434
time series,113,213,6,158
time series,113,213,8,52
time series,113,214,1,1002
time series,113,214,2,87
time series,113,216,2,27
time series,113,216,6,605
time series,115,218,1,55
time series,115,218,4,448
time series,115,219,1,109
time series,115,219,4,36
time series,115,219,7,92
time series,115,220,1,1761
time series,115,222,1,317
time series,117,224,2,13
time series,123,232,5,53
time series,185,338,0,238
time series,221,417,3,48
big-o notation,54,102,4,118
big-o notation,56,103,3,85
big-o notation,58,109,2,0
big-o notation,58,109,5,65
big-o notation,58,109,7,0
big-o notation,58,109,12,16
big-o notation,58,109,16,27
binary ufuncs,36,74,19,15
binary ufuncs,40,80,3,51
binnings,144,262,1,154
binnings,144,262,2,751
binnings,145,264,0,128
binnings,145,264,4,12
binnings,145,265,0,22
binnings,258,511,0,68
bitwise logic operators,46,91,12,38
bogosort,56,103,4,96
bokeh,191,347,4,43
bokeh,191,347,5,83
bokeh,191,347,6,99
working with,1,13,3,197
working with,30,66,0,77
working with,46,90,0,453
working with,46,90,1,0
working with,65,114,6,128
working with,73,131,0,146
working with,74,133,2,37
working with,77,136,1,1096
working with,83,153,3,233
working with,83,154,2,45
working with,85,156,2,468
working with,91,166,1,63
working with,103,189,5,494
working with,107,201,1,84
working with,109,205,5,0
working with,109,205,10,188
working with,109,206,0,80
working with,109,206,4,67
working with,109,206,9,215
working with,111,208,6,416
working with,111,209,4,106
working with,112,210,12,25
working with,113,212,5,191
working with,113,214,2,74
working with,113,216,6,592
working with,115,218,4,435
working with,115,219,7,74
working with,115,220,1,1748
working with,115,222,1,304
working with,117,224,2,0
working with,196,361,10,161
working with,196,365,7,36
working with,221,417,3,35
working with,225,433,3,433
working with,242,467,2,641
working with,245,474,2,66
boolean masks,44,87,0,109
boolean masks,49,95,2,157
boolean masks,78,141,6,248
boolean masks,83,152,1,973
boolean arrays as,46,92,2,588
boolean arrays as,46,92,3,34
rainfall statistics,44,87,4,39
working with boolean arrays,46,90,1,0
boolean operators,46,91,10,0
boolean operators,46,92,0,487
boolean operators,46,92,1,43
centering an array,43,85,9,0
centering an array,44,86,0,22
defined,1,26,7,39
defined,1,29,4,450
defined,4,35,3,350
defined,13,46,5,53
defined,49,95,0,117
defined,65,116,5,97
defined,73,132,5,45
defined,78,139,0,591
defined,78,139,3,207
