"('amazon cloudfront', 'aggregation pages')","[4, 114, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'google')","[-6, -25456, 0, 0, 1104, 0, 0, -1100]"
"('amazon cloudfront', 'aggregation')","[-59, -3036, 0, 0, 40, 0, 0, -36]"
"('amazon cloudfront', 'iaas')","[339, 8512, 0, 0, 140, 0, 0, -136]"
"('amazon cloudfront', 'aggregators')","[-77, -3336, 0, 0, 16, 0, 0, -12]"
"('amazon cloudfront', 'social networking')","[-248, -10708, 0, 0, 56, 0, 0, -52]"
"('amazon cloudfront', 'ajax apis')","[6, 100, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'akamai technologies')","[6, 140, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'alexa top sites')","[1, 0, 0, 0, 2, 2, 0, 2]"
"('amazon cloudfront', 'alexa web information service')","[1, 0, 0, 0, 2, 2, 0, 2]"
"('amazon cloudfront', 'amazon associates web services')","[1, 0, 0, 0, 2, 2, 0, 2]"
"('amazon cloudfront', 'application servers')","[-4, -336, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'application services')","[23, 690, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'people')","[-75, -9880, 0, 0, 198, 0, 0, -194]"
"('amazon cloudfront', 'architectural layers')","[17, 512, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'attribute map')","[-6, -234, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'attributes')","[18, -990, 0, 0, 72, 0, 0, -68]"
"('amazon cloudfront', 'blackberry app world')","[-52, -2050, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'cloud apis')","[2, -396, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'cloud bursting')","[-35, -1456, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'cloud service attributes')","[-12, -478, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'cloud transactions')","[8, 236, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'functionality mapping')","[-12, -484, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'google web services')","[25, 324, 0, 0, 30, 0, 0, -26]"
"('amazon cloudfront', 'mobile devices')","[-291, -13204, 0, 0, 80, 0, 0, -76]"
"('amazon cloudfront', 'office suites')","[-87, -4120, 0, 0, 38, 0, 0, -34]"
"('amazon cloudfront', 'porting')","[-20, -1618, 0, 0, 44, 0, 0, -40]"
"('amazon cloudfront', 'system abstraction')","[-11, -470, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'windows live essentials')","[1, -850, 0, 0, 22, 0, 0, -18]"
"('amazon cloudfront', 'apps.gov')","[52, 1046, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'cloud computing portal')","[18, 350, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'appscale')","[2, 16, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'google app engine (gae)')","[5, 28, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'appsight')","[-5, -220, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'appzero')","[56, 1646, 0, 0, 22, 0, 0, -18]"
"('amazon cloudfront', 'applications')","[-95, -43848, 0, 0, 1402, 4, 0, -1398]"
"('amazon cloudfront', 'communication protocols')","[-8, -386, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'composability')","[25, 818, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'infrastructure')","[611, 7342, 0, 0, 468, 2, 0, -464]"
"('amazon cloudfront', 'platforms')","[188, 1144, 0, 0, 226, 0, 0, -222]"
"('amazon cloudfront', 'architectural standards')","[12, 328, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'architecture design')","[-23, -932, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'archival storage')","[9, 314, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'aristotle')","[7, 204, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'api for identity interchange')","[7, 204, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'aroundme iphone app')","[-3, -168, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'artsandlettersdaily.com')","[-27, -1178, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'athenahealth')","[7, 190, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon machine image (ami)')","[5, 150, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'auto scaling')","[14, 406, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'availability zones')","[-5, -358, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'aws management console')","[11, 114, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'elastic compute cloud (ec2)')","[25, 604, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'infrastructure as a service (iaas)')","[47, 1072, 0, 0, 24, 0, 0, -20]"
"('amazon cloudfront', 'iphone application hosting service')","[-13, -508, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'private virtual servers')","[2, 8, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'sas70 type ii audits')","[-3, -158, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'service oriented architecture (soa)')","[-7, -746, 0, 0, 20, 0, 0, -16]"
"('amazon cloudfront', 'soa standards')","[12, 286, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'software types')","[1, -12, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon.com simple storage service')","[-7, -274, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'analysis')","[-53, -3196, 0, 0, 76, 4, 0, -72]"
"('amazon cloudfront', 'paas')","[517, 13778, 0, 0, 206, 0, 0, -202]"
"('amazon cloudfront', 'anchorfree hotspot shield')","[8, 248, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'vpn software')","[8, 248, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'android market applications')","[-13, -500, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'android')","[-446, -17806, 0, 0, 90, 0, 0, -86]"
"('amazon cloudfront', 'mobile device operating system')","[-13, -496, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'aol instant messenger')","[-28, -1206, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'apache')","[35, 842, 0, 0, 30, 0, 0, -26]"
"('amazon cloudfront', 'drupal applications')","[3, 86, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'apache http server')","[4, 136, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'app engine')","[71, 1538, 0, 0, 48, 0, 0, -44]"
"('amazon cloudfront', 'platform as a service (paas)')","[57, 1612, 0, 0, 22, 0, 0, -18]"
"('amazon cloudfront', 'app store')","[-75, -3028, 0, 0, 14, 0, 0, -10]"
"('amazon cloudfront', 'apple iphone')","[-68, -2728, 0, 0, 12, 0, 0, -8]"
"('amazon cloudfront', 'apparent networks')","[12, 322, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'appfabric')","[-2, -1708, 0, 0, 52, 0, 0, -48]"
"('amazon cloudfront', 'service level agreements (slas)')","[23, 734, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'apple mobileme')","[-14, -548, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'apple safari')","[11, -96, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'appleï¿½s time machine')","[0, -143, 0, 0, 1, 0, 0, 3]"
"('amazon cloudfront', 'appletv')","[-11, -464, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'digital media receiver')","[-11, -464, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'application delivery network (adn)')","[5, 172, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'application development')","[9, -118, 0, 0, 26, 0, 0, -22]"
"('amazon cloudfront', 'paas service')","[82, 2012, 0, 0, 16, 0, 0, -12]"
"('amazon cloudfront', 'application instances')","[22, 628, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'application launcher')","[16, 486, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'chrome os')","[97, 2930, 0, 0, 24, 0, 0, -20]"
"('amazon cloudfront', 'application oriented networking')","[-5, -220, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon simple storage system')","[4, -50, 0, 0, 8, 2, 0, -4]"
"('amazon cloudfront', 'continuous data protection (cdp)')","[-7, -286, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'data archival')","[-14, -576, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'differential')","[-28, -1146, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'full system')","[-7, -284, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'image')","[65, -1268, 0, 0, 166, 0, 0, -162]"
"('amazon cloudfront', 'incremental')","[-71, -2990, 0, 0, 24, 0, 0, -20]"
"('amazon cloudfront', 'mirroring')","[-6, -316, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'open file')","[-28, -1148, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'point-in-time (pit)')","[-7, -286, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'reverse delta')","[-7, -286, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bagvapp')","[8, 260, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'bandwidth')","[-19, -2020, 0, 0, 50, 0, 0, -46]"
